Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-30 12:45:00,6633.98,6643.0,6631.91,6632.0,563.251579,2018-09-30 12:59:59.999,3737266.37911889,1645,274.561767,1821876.55644229,0,1.0,1.0,-1.0
2018-09-30 13:00:00,6632.59,6641.0,6627.82,6633.91,322.553502,2018-09-30 13:14:59.999,2139037.7089394,1555,167.079964,1108090.6411411,0,0.0,1.0,-1.0
2018-09-30 13:15:00,6633.92,6637.91,6628.02,6636.01,391.326574,2018-09-30 13:29:59.999,2595203.34012348,1523,216.142096,1433242.71045174,0,0.0,1.0,-1.0
2018-09-30 13:30:00,6636.01,6647.0,6633.14,6641.16,382.354943,2018-09-30 13:44:59.999,2538833.77572332,1593,177.55215,1179063.94071532,0,0.0,1.0,-1.0
2018-09-30 13:45:00,6640.11,6646.65,6636.92,6642.03,310.361594,2018-09-30 13:59:59.999,2061621.72761226,1688,133.642492,887807.16224579,0,0.0,1.0,-1.0
2018-09-30 14:00:00,6642.01,6645.99,6635.01,6638.0,438.281761,2018-09-30 14:14:59.999,2910129.71468633,2022,258.434158,1716089.38389104,0,0.0,1.0,-1.0
2018-09-30 14:15:00,6638.0,6645.0,6635.0,6637.23,175.863983,2018-09-30 14:29:59.999,1167698.55044934,1432,90.582575,601530.16942161,0,0.0,1.0,-1.0
2018-09-30 14:30:00,6639.97,6650.0,6637.27,6648.08,188.769331,2018-09-30 14:44:59.999,1254258.45402577,1557,108.514925,721004.89988271,0,0.0,1.0,-1.0
2018-09-30 14:45:00,6648.07,6660.54,6644.97,6653.3,325.574725,2018-09-30 14:59:59.999,2165615.05417156,1843,135.607693,901874.53306484,0,1.0,1.0,-1.0
2018-09-30 15:00:00,6650.58,6653.25,6637.4,6642.23,439.431149,2018-09-30 15:14:59.999,2919484.31178467,1958,269.627778,1791221.48278353,0,0.0,1.0,-1.0
2018-09-30 15:15:00,6642.24,6644.87,6623.22,6634.42,276.448846,2018-09-30 15:29:59.999,1834774.9101182,1843,123.655031,820587.29159238,0,-1.0,1.0,-1.0
2018-09-30 15:30:00,6634.43,6635.0,6622.28,6625.95,156.958175,2018-09-30 15:44:59.999,1040284.58288905,1806,92.009474,609864.0863318,0,-1.0,1.0,-1.0
2018-09-30 15:45:00,6622.67,6623.61,6585.94,6607.29,518.510132,2018-09-30 15:59:59.999,3424023.46416036,3970,206.461227,1363627.48748141,0,-1.0,1.0,-1.0
2018-09-30 16:00:00,6605.16,6628.31,6592.0,6625.15,481.632466,2018-09-30 16:14:59.999,3184207.73145459,2636,305.67884,2021543.75814455,0,0.0,1.0,-1.0
2018-09-30 16:15:00,6625.14,6629.52,6614.63,6629.46,370.684578,2018-09-30 16:29:59.999,2454706.85646368,1516,233.848439,1548601.55439275,0,0.0,1.0,-1.0
2018-09-30 16:30:00,6629.39,6629.51,6615.69,6624.09,251.566052,2018-09-30 16:44:59.999,1666017.72114499,1261,100.782279,667264.50582301,0,0.0,1.0,-1.0
2018-09-30 16:45:00,6624.09,6629.95,6620.74,6624.91,392.28525,2018-09-30 16:59:59.999,2598425.12694163,1301,243.440685,1612624.65612279,0,0.0,1.0,-1.0
2018-09-30 17:00:00,6624.9,6629.95,6622.72,6628.85,195.130698,2018-09-30 17:14:59.999,1292947.54453094,1193,98.351959,651730.68252781,0,0.0,1.0,-1.0
2018-09-30 17:15:00,6625.53,6628.79,6609.7,6617.84,162.794311,2018-09-30 17:29:59.999,1077400.33570762,1378,93.294069,617403.87967875,0,0.0,1.0,-1.0
